Example of AGN SED, flat in 0.01-0.1mic,
lam*f_lam ~ lam^{-0.5} and RJ-tail beyond 1 micron
     lambda     lam*flam
   1.000E-02   2.785E-01
   1.500E-02   2.785E-01
   2.000E-02   2.785E-01
   3.000E-02   2.785E-01
   4.000E-02   2.785E-01
   5.000E-02   2.785E-01
   6.000E-02   2.785E-01
   8.000E-02   2.785E-01
   1.000E-01   2.785E-01
   1.200E-01   2.541E-01
   1.500E-01   2.273E-01
   2.000E-01   1.969E-01
   2.500E-01   1.761E-01
   3.000E-01   1.608E-01
   3.600E-01   1.467E-01
   4.400E-01   1.328E-01
   5.500E-01   1.187E-01
   7.000E-01   1.052E-01
   8.500E-01   9.549E-02
   1.000E+00   8.804E-02
   1.150E+00   5.789E-02
   1.300E+00   4.008E-02
   1.700E+00   1.792E-02
   2.000E+00   1.101E-02
   2.200E+00   8.268E-03
   2.700E+00   4.473E-03
   3.000E+00   3.261E-03
   3.500E+00   2.054E-03
   4.000E+00   1.376E-03
   4.500E+00   9.662E-04
   5.000E+00   7.044E-04
   5.500E+00   5.292E-04
   6.000E+00   4.076E-04
   6.500E+00   3.206E-04
   7.000E+00   2.567E-04
   7.500E+00   2.087E-04
   8.000E+00   1.720E-04
   8.500E+00   1.434E-04
   9.000E+00   1.208E-04
   9.400E+00   1.060E-04
   9.550E+00   1.011E-04
   9.700E+00   9.647E-05
   9.850E+00   9.212E-05
   1.000E+01   8.804E-05
   1.050E+01   7.606E-05
   1.100E+01   6.615E-05
   1.130E+01   6.102E-05
   1.160E+01   5.641E-05
   1.200E+01   5.096E-05
   1.250E+01   4.508E-05
   1.300E+01   4.008E-05
   1.350E+01   3.579E-05
   1.400E+01   3.209E-05
   1.450E+01   2.888E-05
   1.500E+01   2.609E-05
   1.600E+01   2.150E-05
   1.700E+01   1.792E-05
   1.800E+01   1.510E-05
   1.900E+01   1.284E-05
   2.000E+01   1.101E-05
   2.200E+01   8.268E-06
   2.300E+01   7.237E-06
   2.400E+01   6.369E-06
   2.500E+01   5.635E-06
   2.600E+01   5.010E-06
   2.700E+01   4.473E-06
   2.800E+01   4.011E-06
   3.000E+01   3.261E-06
   3.500E+01   2.054E-06
   4.000E+01   1.376E-06
   4.500E+01   9.662E-07
   5.000E+01   7.044E-07
   5.500E+01   5.292E-07
   6.000E+01   4.076E-07
   6.500E+01   3.206E-07
   7.000E+01   2.567E-07
   7.500E+01   2.087E-07
   8.000E+01   1.720E-07
   8.500E+01   1.434E-07
   9.000E+01   1.208E-07
   9.500E+01   1.027E-07
   1.000E+02   8.804E-08
   1.050E+02   7.606E-08
   1.100E+02   6.615E-08
   1.200E+02   5.096E-08
   1.300E+02   4.008E-08
   1.400E+02   3.209E-08
   1.500E+02   2.609E-08
   2.000E+02   1.101E-08
   2.500E+02   5.635E-09
   3.000E+02   3.261E-09
   4.000E+02   1.376E-09
   5.000E+02   7.044E-10
   7.000E+02   2.567E-10
   1.000E+03   8.804E-11
   1.500E+03   2.609E-11
   2.250E+03   7.729E-12
   3.350E+03   2.342E-12
   5.000E+03   7.044E-13
   7.400E+03   2.173E-13
   1.100E+04   6.615E-14
   1.300E+04   4.008E-14
   1.600E+04   2.150E-14
   2.400E+04   6.369E-15
   3.600E+04   1.887E-15
