  Gray Absorption Cross sections
  For tests
       lambda      <s_abs>/<V>    <s_sca>/<V> 
    1.00000E-02    1.00000E+00    0.00000E+00
    2.00000E-02    1.00000E+00    0.00000E+00
    3.00000E-02    1.00000E+00    0.00000E+00
    1.00000E-01    1.00000E+00    0.00000E+00
    2.00000E-01    1.00000E+00    0.00000E+00
    5.00000E-01    1.00000E+00    0.00000E+00
    7.00000E-01    1.00000E+00    0.00000E+00
    1.00000E+00    1.00000E+00    0.00000E+00
    2.00000E+00    1.00000E+00    0.00000E+00
    5.00000E+00    1.00000E+00    0.00000E+00
    7.00000E+00    1.00000E+00    0.00000E+00
    1.00000E+01    1.00000E+00    0.00000E+00
    2.00000E+01    1.00000E+00    0.00000E+00
    5.00000E+01    1.00000E+00    0.00000E+00
    1.00000E+02    1.00000E+00    0.00000E+00
    2.00000E+02    1.00000E+00    0.00000E+00
    5.00000E+02    1.00000E+00    0.00000E+00
    7.00000E+02    1.00000E+00    0.00000E+00
    1.00000E+03    1.00000E+00    0.00000E+00
    2.00000E+03    1.00000E+00    0.00000E+00
    5.00000E+03    1.00000E+00    0.00000E+00
    1.30000E+04    1.00000E+00    0.00000E+00
    2.00000E+04    1.00000E+00    0.00000E+00
    3.60000E+04    1.00000E+00    0.00000E+00
