  Standard MRN mixture (a_min=0.005, amax=0.25)
 Silw:0.00 Silc:0.53 SiDL:0.00 amC:0.00 SiC:0.00 Grph:0.47 CrSi:0.00
       lambda      <s_abs>/<V>    <s_sca>/<V> 
    1.00000E-02    1.37692E+01    1.91565E+01
    1.50000E-02    1.45889E+01    2.35828E+01
    2.00000E-02    1.49011E+01    2.51513E+01
    3.00000E-02    1.52609E+01    2.39555E+01
    4.00000E-02    1.44957E+01    2.22682E+01
    5.00000E-02    1.53590E+01    2.15468E+01
    6.00000E-02    1.70872E+01    2.07716E+01
    8.00000E-02    2.17842E+01    2.06453E+01
    1.00000E-01    1.80401E+01    1.86583E+01
    1.20000E-01    1.28086E+01    1.55895E+01
    1.50000E-01    9.76701E+00    1.13639E+01
    2.00000E-01    1.42963E+01    1.09208E+01
    2.50000E-01    1.13794E+01    1.11748E+01
    3.00000E-01    9.04538E+00    9.06971E+00
    3.60000E-01    7.63721E+00    7.74474E+00
    4.40000E-01    6.21258E+00    6.72965E+00
    5.50000E-01    4.69709E+00    5.61757E+00
    7.00000E-01    3.38964E+00    4.28294E+00
    8.50000E-01    2.59384E+00    3.11658E+00
    1.00000E+00    2.13995E+00    2.18339E+00
    1.15000E+00    1.85925E+00    1.54105E+00
    1.30000E+00    1.63575E+00    1.10404E+00
    1.70000E+00    1.15202E+00    4.95384E-01
    2.00000E+00    9.04025E-01    2.75229E-01
    2.20000E+00    7.66545E-01    1.89323E-01
    2.70000E+00    5.32376E-01    8.13059E-02
    3.00000E+00    4.42360E-01    5.23084E-02
    3.50000E+00    3.35415E-01    2.74382E-02
    4.00000E+00    2.67977E-01    1.57318E-02
    4.50000E+00    2.18614E-01    9.65162E-03
    5.00000E+00    1.84717E-01    6.23615E-03
    5.50000E+00    1.59667E-01    4.19941E-03
    6.00000E+00    1.41622E-01    2.92183E-03
    6.50000E+00    1.29032E-01    2.08812E-03
    7.00000E+00    1.20212E-01    1.52574E-03
    7.50000E+00    1.14327E-01    1.13349E-03
    8.00000E+00    1.15267E-01    8.50059E-04
    8.20000E+00    1.19031E-01    7.58368E-04
    8.40000E+00    1.27486E-01    6.77190E-04
    8.60000E+00    1.41302E-01    6.04059E-04
    8.80000E+00    1.81694E-01    5.46715E-04
    9.00000E+00    2.19993E-01    5.03442E-04
    9.20000E+00    2.67783E-01    4.68175E-04
    9.30000E+00    2.93928E-01    4.55064E-04
    9.40000E+00    3.26488E-01    4.47101E-04
    9.45000E+00    3.39162E-01    4.44158E-04
    9.50000E+00    3.52243E-01    4.41827E-04
    9.55000E+00    3.59882E-01    4.37981E-04
    9.60000E+00    3.67564E-01    4.34441E-04
    9.65000E+00    3.75498E-01    4.30246E-04
    9.70000E+00    3.83549E-01    4.26374E-04
    9.75000E+00    3.95551E-01    4.24415E-04
    9.80000E+00    4.07850E-01    4.22987E-04
    9.85000E+00    4.19684E-01    4.23780E-04
    9.90000E+00    4.31508E-01    4.25145E-04
    9.95000E+00    4.34050E-01    4.24764E-04
    1.00000E+01    4.36108E-01    4.24552E-04
    1.02000E+01    4.23220E-01    4.11167E-04
    1.05000E+01    3.87033E-01    3.83412E-04
    1.10000E+01    3.13697E-01    3.23473E-04
    1.13000E+01    2.85828E-01    2.94130E-04
    1.16000E+01    2.49732E-01    2.70671E-04
    1.20000E+01    1.88502E-01    2.28647E-04
    1.25000E+01    1.52467E-01    1.87436E-04
    1.30000E+01    1.28720E-01    1.53653E-04
    1.35000E+01    1.23329E-01    1.27960E-04
    1.40000E+01    1.22004E-01    1.08549E-04
    1.45000E+01    1.17968E-01    9.29651E-05
    1.50000E+01    1.15800E-01    7.84262E-05
    1.55000E+01    1.31932E-01    6.76209E-05
    1.60000E+01    1.51841E-01    5.96814E-05
    1.65000E+01    1.74254E-01    5.39887E-05
    1.70000E+01    1.95647E-01    5.00641E-05
    1.75000E+01    2.10600E-01    4.72867E-05
    1.80000E+01    2.14389E-01    4.48271E-05
    1.85000E+01    2.07898E-01    4.21322E-05
    1.90000E+01    1.94212E-01    3.90004E-05
    1.95000E+01    1.78834E-01    3.56926E-05
    2.00000E+01    1.64587E-01    3.24428E-05
    2.10000E+01    1.43788E-01    2.66277E-05
    2.20000E+01    1.31898E-01    2.20550E-05
    2.30000E+01    1.23921E-01    1.85327E-05
    2.40000E+01    1.18284E-01    1.56927E-05
    2.50000E+01    1.14690E-01    1.33947E-05
    2.60000E+01    1.12117E-01    1.15574E-05
    2.70000E+01    1.10786E-01    1.00838E-05
    2.80000E+01    1.11450E-01    8.87351E-06
    3.00000E+01    1.11965E-01    7.04856E-06
    3.50000E+01    9.36558E-02    4.24660E-06
    4.00000E+01    6.70900E-02    2.57867E-06
    4.50000E+01    4.71684E-02    1.60711E-06
    5.00000E+01    3.44079E-02    1.04464E-06
    5.50000E+01    2.64607E-02    7.06665E-07
    6.00000E+01    2.11997E-02    4.94729E-07
    6.50000E+01    1.74117E-02    3.56739E-07
    7.00000E+01    1.45649E-02    2.63813E-07
    7.50000E+01    1.23505E-02    1.99382E-07
    8.00000E+01    1.06130E-02    1.53522E-07
    8.50000E+01    9.22475E-03    1.20151E-07
    9.00000E+01    8.11075E-03    9.53475E-08
    9.50000E+01    7.19252E-03    7.66379E-08
    1.00000E+02    6.42486E-03    6.23065E-08
    1.05000E+02    5.78245E-03    5.11768E-08
    1.10000E+02    5.23708E-03    4.24269E-08
    1.20000E+02    4.37203E-03    2.98865E-08
    1.30000E+02    3.73310E-03    2.16623E-08
    1.40000E+02    3.24303E-03    1.60866E-08
    1.50000E+02    2.84983E-03    1.22005E-08
    2.00000E+02    1.60034E-03    3.85805E-09
    2.50000E+02    1.00910E-03    1.57899E-09
    3.00000E+02    6.94021E-04    7.60953E-10
    4.00000E+02    3.86415E-04    2.40572E-10
    5.00000E+02    2.46187E-04    9.84923E-11
    7.00000E+02    1.26953E-04    2.56292E-11
    1.00000E+03    6.12492E-05    6.15219E-12
    1.50000E+03    2.72102E-05    1.21509E-12
    2.25000E+03    1.20934E-05    2.39998E-13
    3.35000E+03    5.45111E-06    4.88363E-14
    5.00000E+03    2.44863E-06    9.84085E-15
    7.40000E+03    1.12639E-06    2.05110E-15
    1.10000E+04    5.30490E-07    4.20087E-16
    1.30000E+04    4.17836E-07    2.15346E-16
    1.60000E+04    3.13484E-07    9.38488E-17
    2.40000E+04    1.83944E-07    1.85380E-17
    3.60000E+04    1.11498E-07    3.66182E-18
