Standard MRN m	ixture (a_min=	"0.005, amax=0.25)"
Silw:0.00 Silc:	0.00 SiDL:0.53	amC:0.00 SiC:0.00 Grph:0.47
lambda	<s_abs>/<V>	<s_sca>/<V>
1.0000E-02	6.9619E+00	7.6847E+00
1.5000E-02	8.3876E+00	8.3828E+00
2.0000E-02	1.0382E+01	8.9541E+00
3.0000E-02	1.2672E+01	9.6004E+00
4.0000E-02	1.4282E+01	1.0606E+01
5.0000E-02	1.7535E+01	1.2143E+01
6.0000E-02	2.1515E+01	1.3614E+01
8.0000E-02	3.0746E+01	1.6725E+01
1.0000E-01	2.6383E+01	1.5955E+01
1.2000E-01	1.9232E+01	1.3368E+01
1.5000E-01	1.3996E+01	1.0361E+01
2.0000E-01	1.3228E+01	1.2498E+01
2.5000E-01	9.8187E+00	1.2393E+01
3.0000E-01	7.6899E+00	9.9498E+00
3.6000E-01	6.4747E+00	8.3550E+00
4.4000E-01	5.3467E+00	6.8357E+00
5.5000E-01	4.1932E+00	5.2589E+00
7.0000E-01	3.1758E+00	3.7851E+00
8.5000E-01	2.5081E+00	2.7475E+00
1.0000E+00	2.0422E+00	1.9782E+00
1.1500E+00	1.7088E+00	1.4310E+00
1.3000E+00	1.4539E+00	1.0327E+00
1.7000E+00	9.9290E-01	4.6308E-01
2.0000E+00	7.6438E-01	2.5652E-01
2.2000E+00	6.5101E-01	1.7579E-01
2.7000E+00	4.5834E-01	7.5113E-02
3.0000E+00	3.8260E-01	4.8172E-02
3.5000E+00	2.9512E-01	2.5179E-02
4.0000E+00	2.3671E-01	1.4388E-02
4.5000E+00	1.9576E-01	8.7970E-03
5.0000E+00	1.6655E-01	5.6647E-03
5.5000E+00	1.4558E-01	3.7993E-03
6.0000E+00	1.3091E-01	2.6306E-03
6.5000E+00	1.1969E-01	1.8694E-03
7.0000E+00	1.1024E-01	1.3520E-03
7.5000E+00	1.0508E-01	9.8608E-04
8.0000E+00	1.0331E-01	7.4189E-04
8.2000E+00	1.0328E-01	6.8076E-04
8.4000E+00	1.0355E-01	6.3510E-04
8.6000E+00	1.0408E-01	5.9538E-04
8.8000E+00	1.0483E-01	5.6663E-04
9.0000E+00	1.0577E-01	5.5419E-04
9.2000E+00	1.0688E-01	5.5284E-04
9.3000E+00	1.0749E-01	5.5197E-04
9.4000E+00	1.0812E-01	5.4935E-04
9.4500E+00	1.0845E-01	5.4542E-04
9.5000E+00	1.0879E-01	5.4167E-04
9.5500E+00	1.0914E-01	5.3737E-04
9.6000E+00	1.0949E-01	5.3112E-04
9.6500E+00	1.0984E-01	5.2503E-04
9.7000E+00	1.1020E-01	5.1797E-04
9.7500E+00	1.1057E-01	5.1023E-04
9.8000E+00	1.1094E-01	5.0267E-04
9.8500E+00	1.1132E-01	4.9520E-04
9.9000E+00	1.1170E-01	4.8759E-04
9.9500E+00	1.1209E-01	4.8015E-04
1.0000E+01	1.1248E-01	4.7288E-04
1.0200E+01	1.1407E-01	4.4690E-04
1.0500E+01	1.1655E-01	4.0909E-04
1.1000E+01	1.2077E-01	3.3522E-04
1.1300E+01	1.2329E-01	2.9789E-04
1.1600E+01	1.2574E-01	2.6793E-04
1.2000E+01	1.2886E-01	2.2940E-04
1.2500E+01	1.3240E-01	1.8960E-04
1.3000E+01	1.3542E-01	1.5704E-04
1.3500E+01	1.3781E-01	1.3024E-04
1.4000E+01	1.3948E-01	1.0770E-04
1.4500E+01	1.4054E-01	9.0302E-05
1.5000E+01	1.4156E-01	7.7471E-05
1.5500E+01	1.4263E-01	6.7639E-05
1.6000E+01	1.4372E-01	6.0054E-05
1.6500E+01	1.4481E-01	5.4097E-05
1.7000E+01	1.4586E-01	4.9374E-05
1.7500E+01	1.4685E-01	4.5517E-05
1.8000E+01	1.4776E-01	4.2199E-05
1.8500E+01	1.4858E-01	3.9209E-05
1.9000E+01	1.4929E-01	3.6370E-05
1.9500E+01	1.4988E-01	3.3570E-05
2.0000E+01	1.5034E-01	3.0896E-05
2.1000E+01	1.5085E-01	2.5808E-05
2.2000E+01	1.5077E-01	2.1703E-05
2.3000E+01	1.5010E-01	1.8336E-05
2.4000E+01	1.4883E-01	1.5647E-05
2.5000E+01	1.4697E-01	1.3479E-05
2.6000E+01	1.4457E-01	1.1675E-05
2.7000E+01	1.4192E-01	1.0216E-05
2.8000E+01	1.3982E-01	9.0203E-06
3.0000E+01	1.3591E-01	7.2039E-06
3.5000E+01	1.1294E-01	4.3246E-06
4.0000E+01	8.3340E-02	2.6488E-06
4.5000E+01	6.0763E-02	1.6636E-06
5.0000E+01	4.5886E-02	1.0855E-06
5.5000E+01	3.5893E-02	7.3614E-07
6.0000E+01	2.8860E-02	5.1646E-07
6.5000E+01	2.3735E-02	3.7292E-07
7.0000E+01	1.9883E-02	2.7598E-07
7.5000E+01	1.6912E-02	2.0861E-07
8.0000E+01	1.4568E-02	1.6062E-07
8.5000E+01	1.2689E-02	1.2568E-07
9.0000E+01	1.1161E-02	9.9757E-08
9.5000E+01	9.8988E-03	8.0193E-08
1.0000E+02	8.8437E-03	6.5201E-08
1.0500E+02	7.9578E-03	5.3552E-08
1.1000E+02	7.2042E-03	4.4394E-08
1.2000E+02	6.0015E-03	3.1270E-08
1.3000E+02	5.1067E-03	2.2662E-08
1.4000E+02	4.4160E-03	1.6829E-08
1.5000E+02	3.8636E-03	1.2763E-08
2.0000E+02	2.1570E-03	4.0350E-09
2.5000E+02	1.3554E-03	1.6520E-09
3.0000E+02	8.9901E-04	7.9578E-10
4.0000E+02	4.8824E-04	2.5129E-10
5.0000E+02	3.1354E-04	1.0281E-10
7.0000E+02	1.6836E-04	2.6741E-11
1.0000E+03	9.0358E-05	6.4207E-12
1.5000E+03	4.4764E-05	1.2689E-12
2.2500E+03	2.2308E-05	2.5078E-13
3.3500E+03	1.1316E-05	5.1058E-14
5.0000E+03	5.7434E-06	1.0293E-14
7.4000E+03	2.9698E-06	2.1461E-15
1.1000E+04	1.4817E-06	4.3967E-16
1.3000E+04	1.0602E-06	2.2542E-16
1.6000E+04	6.9938E-07	9.8246E-17
2.4000E+04	3.1078E-07	1.9407E-17
3.6000E+04	1.3804E-07	3.8338E-18
