  Standard MRN mixture (a_min=0.005, amax=0.25)
 Silw:0.00 Silc:0.00 SiDL:0.53 amC:0.00 SiC:0.00 Grph:0.47 CrSi:0.00
       lambda      <s_abs>/<V>    <s_sca>/<V> 
    1.00000E-02    6.96187E+00    7.68466E+00
    1.50000E-02    8.38760E+00    8.38275E+00
    2.00000E-02    1.03822E+01    8.95409E+00
    3.00000E-02    1.26722E+01    9.60036E+00
    4.00000E-02    1.42816E+01    1.06062E+01
    5.00000E-02    1.75345E+01    1.21427E+01
    6.00000E-02    2.15150E+01    1.36141E+01
    8.00000E-02    3.07455E+01    1.67254E+01
    1.00000E-01    2.63832E+01    1.59545E+01
    1.20000E-01    1.92321E+01    1.33682E+01
    1.50000E-01    1.39956E+01    1.03613E+01
    2.00000E-01    1.32277E+01    1.24975E+01
    2.50000E-01    9.81872E+00    1.23933E+01
    3.00000E-01    7.68994E+00    9.94975E+00
    3.60000E-01    6.47470E+00    8.35499E+00
    4.40000E-01    5.34669E+00    6.83569E+00
    5.50000E-01    4.19326E+00    5.25893E+00
    7.00000E-01    3.17576E+00    3.78511E+00
    8.50000E-01    2.50811E+00    2.74746E+00
    1.00000E+00    2.04223E+00    1.97818E+00
    1.15000E+00    1.70884E+00    1.43103E+00
    1.30000E+00    1.45387E+00    1.03273E+00
    1.70000E+00    9.92912E-01    4.63074E-01
    2.00000E+00    7.64404E-01    2.56509E-01
    2.20000E+00    6.51030E-01    1.75783E-01
    2.70000E+00    4.58355E-01    7.51082E-02
    3.00000E+00    3.82621E-01    4.81682E-02
    3.50000E+00    2.95135E-01    2.51773E-02
    4.00000E+00    2.36736E-01    1.43865E-02
    4.50000E+00    1.95786E-01    8.79611E-03
    5.00000E+00    1.66574E-01    5.66399E-03
    5.50000E+00    1.45609E-01    3.79884E-03
    6.00000E+00    1.30939E-01    2.63025E-03
    6.50000E+00    1.19719E-01    1.86915E-03
    7.00000E+00    1.10274E-01    1.35179E-03
    7.50000E+00    1.14510E-01    9.85940E-04
    8.00000E+00    1.89968E-01    7.41771E-04
    8.20000E+00    2.47320E-01    6.80656E-04
    8.40000E+00    3.07806E-01    6.35007E-04
    8.60000E+00    3.54830E-01    5.95291E-04
    8.80000E+00    4.11619E-01    5.66553E-04
    9.00000E+00    4.83673E-01    5.54116E-04
    9.20000E+00    5.50944E-01    5.52771E-04
    9.30000E+00    5.74035E-01    5.51904E-04
    9.40000E+00    5.88199E-01    5.49283E-04
    9.45000E+00    5.89018E-01    5.45351E-04
    9.50000E+00    5.89280E-01    5.41608E-04
    9.55000E+00    5.87998E-01    5.37310E-04
    9.60000E+00    5.83406E-01    5.31066E-04
    9.65000E+00    5.78461E-01    5.24970E-04
    9.70000E+00    5.72308E-01    5.17915E-04
    9.75000E+00    5.65515E-01    5.10173E-04
    9.80000E+00    5.58606E-01    5.02609E-04
    9.85000E+00    5.51764E-01    4.95140E-04
    9.90000E+00    5.45545E-01    4.87537E-04
    9.95000E+00    5.39280E-01    4.80097E-04
    1.00000E+01    5.33002E-01    4.72825E-04
    1.02000E+01    5.10805E-01    4.46844E-04
    1.05000E+01    4.63635E-01    4.09048E-04
    1.10000E+01    3.73079E-01    3.35174E-04
    1.13000E+01    3.32173E-01    2.97851E-04
    1.16000E+01    2.98019E-01    2.67892E-04
    1.20000E+01    2.56241E-01    2.29366E-04
    1.25000E+01    2.13635E-01    1.89567E-04
    1.30000E+01    1.79169E-01    1.57002E-04
    1.35000E+01    1.53864E-01    1.30205E-04
    1.40000E+01    1.39358E-01    1.07665E-04
    1.45000E+01    1.40399E-01    9.02664E-05
    1.50000E+01    1.49987E-01    7.74350E-05
    1.55000E+01    1.61928E-01    6.76015E-05
    1.60000E+01    1.75332E-01    6.00153E-05
    1.65000E+01    1.88933E-01    5.40570E-05
    1.70000E+01    2.01022E-01    4.93327E-05
    1.75000E+01    2.10401E-01    4.54739E-05
    1.80000E+01    2.15797E-01    4.21552E-05
    1.85000E+01    2.16690E-01    3.91639E-05
    1.90000E+01    2.13330E-01    3.63242E-05
    1.95000E+01    2.06526E-01    3.35230E-05
    2.00000E+01    1.97636E-01    3.08489E-05
    2.10000E+01    1.81744E-01    2.57601E-05
    2.20000E+01    1.70090E-01    2.16560E-05
    2.30000E+01    1.60311E-01    1.82923E-05
    2.40000E+01    1.54060E-01    1.56103E-05
    2.50000E+01    1.49714E-01    1.34528E-05
    2.60000E+01    1.46434E-01    1.16619E-05
    2.70000E+01    1.44603E-01    1.02216E-05
    2.80000E+01    1.43408E-01    9.04764E-06
    3.00000E+01    1.41318E-01    7.27981E-06
    3.50000E+01    1.18026E-01    4.42968E-06
    4.00000E+01    8.52074E-02    2.70364E-06
    4.50000E+01    6.10968E-02    1.68660E-06
    5.00000E+01    4.57441E-02    1.09551E-06
    5.50000E+01    3.56270E-02    7.40881E-07
    6.00000E+01    2.85803E-02    5.18862E-07
    6.50000E+01    2.34747E-02    3.74204E-07
    7.00000E+01    1.96523E-02    2.76698E-07
    7.50000E+01    1.67103E-02    2.09025E-07
    8.00000E+01    1.43933E-02    1.60868E-07
    8.50000E+01    1.25386E-02    1.25830E-07
    9.00000E+01    1.10331E-02    9.98453E-08
    9.50000E+01    9.79187E-03    8.02437E-08
    1.00000E+02    8.75590E-03    6.52281E-08
    1.05000E+02    7.89129E-03    5.35627E-08
    1.10000E+02    7.16104E-03    4.43942E-08
    1.20000E+02    6.01548E-03    3.12646E-08
    1.30000E+02    5.18925E-03    2.26725E-08
    1.40000E+02    4.51182E-03    1.68649E-08
    1.50000E+02    3.89396E-03    1.28093E-08
    2.00000E+02    2.06377E-03    4.04131E-09
    2.50000E+02    1.29452E-03    1.65267E-09
    3.00000E+02    8.60044E-04    7.95838E-10
    4.00000E+02    4.69453E-04    2.51258E-10
    5.00000E+02    3.02808E-04    1.02792E-10
    7.00000E+02    1.63602E-04    2.67377E-11
    1.00000E+03    8.82534E-05    6.42020E-12
    1.50000E+03    4.38875E-05    1.26886E-12
    2.25000E+03    2.19286E-05    2.50765E-13
    3.35000E+03    1.11453E-05    5.10567E-14
    5.00000E+03    5.66733E-06    1.02928E-14
    7.40000E+03    2.93519E-06    2.14609E-15
    1.10000E+04    1.46616E-06    4.39670E-16
    1.30000E+04    1.04905E-06    2.25416E-16
    1.60000E+04    6.92025E-07    9.82457E-17
    2.40000E+04    3.07506E-07    1.94065E-17
    3.60000E+04    1.36582E-07    3.83381E-18
