Standard M	ixture (a_	"0.005, amax=0.25)"
Silw:0.00	0.53 SiDL:	amC:0.00 SiC:0.00 Grph:0.47 CrSi:0.00
lambda	<s_abs>/<V	<s_sca>/<V>
1.0000E-02	1.3769E+01	1.9157E+01
1.5000E-02	1.4589E+01	2.3583E+01
2.0000E-02	1.4901E+01	2.5151E+01
3.0000E-02	1.5261E+01	2.3956E+01
4.0000E-02	1.4496E+01	2.2268E+01
5.0000E-02	1.5359E+01	2.1547E+01
6.0000E-02	1.7087E+01	2.0772E+01
8.0000E-02	2.1784E+01	2.0645E+01
1.0000E-01	1.8040E+01	1.8658E+01
1.2000E-01	1.2809E+01	1.5590E+01
1.5000E-01	9.7670E+00	1.1364E+01
2.0000E-01	1.4296E+01	1.0921E+01
2.5000E-01	1.1379E+01	1.1175E+01
3.0000E-01	9.0454E+00	9.0697E+00
3.6000E-01	7.6372E+00	7.7447E+00
4.4000E-01	6.2126E+00	6.7297E+00
5.5000E-01	4.6971E+00	5.6176E+00
7.0000E-01	3.3896E+00	4.2829E+00
8.5000E-01	2.5938E+00	3.1166E+00
1.0000E+00	2.1400E+00	2.1834E+00
1.1500E+00	1.8593E+00	1.5411E+00
1.3000E+00	1.6358E+00	1.1040E+00
1.7000E+00	1.1520E+00	4.9538E-01
2.0000E+00	9.0403E-01	2.7523E-01
2.2000E+00	7.6655E-01	1.8932E-01
2.7000E+00	5.3238E-01	8.1306E-02
3.0000E+00	4.4236E-01	5.2308E-02
3.5000E+00	3.3542E-01	2.7438E-02
4.0000E+00	2.6798E-01	1.5732E-02
4.5000E+00	2.1861E-01	9.6516E-03
5.0000E+00	1.8472E-01	6.2362E-03
5.5000E+00	1.5967E-01	4.1994E-03
6.0000E+00	1.4162E-01	2.9218E-03
6.5000E+00	1.2903E-01	2.0881E-03
7.0000E+00	1.2021E-01	1.5257E-03
7.5000E+00	1.1591E-01	1.1335E-03
8.0000E+00	1.1483E-01	8.5006E-04
8.2000E+00	1.1501E-01	7.5837E-04
8.4000E+00	1.1544E-01	6.7719E-04
8.6000E+00	1.1607E-01	6.0406E-04
8.8000E+00	1.1687E-01	5.4672E-04
9.0000E+00	1.1780E-01	5.0344E-04
9.2000E+00	1.1881E-01	4.6818E-04
9.3000E+00	1.1935E-01	4.5506E-04
9.4000E+00	1.1989E-01	4.4710E-04
9.4500E+00	1.2017E-01	4.4416E-04
9.5000E+00	1.2045E-01	4.4183E-04
9.5500E+00	1.2073E-01	4.3798E-04
9.6000E+00	1.2101E-01	4.3444E-04
9.6500E+00	1.2129E-01	4.3025E-04
9.7000E+00	1.2157E-01	4.2637E-04
