  Standard MRN mixture (a_min=0.005, amax=0.25)
 Silw:0.00 Silc:0.53 SiDL:0.00 amC:0.00 SiC:0.00 Grph:0.47 CrSi:0.00
       lambda      <s_abs>/<V>    <s_sca>/<V> 
    1.00000E-02    1.37692E+01    1.91565E+01
    1.50000E-02    1.45889E+01    2.35828E+01
    2.00000E-02    1.49011E+01    2.51513E+01
    3.00000E-02    1.52609E+01    2.39555E+01
    4.00000E-02    1.44957E+01    2.22682E+01
    5.00000E-02    1.53590E+01    2.15468E+01
    6.00000E-02    1.70872E+01    2.07716E+01
    8.00000E-02    2.17842E+01    2.06453E+01
    1.00000E-01    1.80401E+01    1.86583E+01
    1.20000E-01    1.28086E+01    1.55895E+01
    1.50000E-01    9.76698E+00    1.13639E+01
    2.00000E-01    1.42963E+01    1.09208E+01
    2.50000E-01    1.13794E+01    1.11748E+01
    3.00000E-01    9.04540E+00    9.06969E+00
    3.60000E-01    7.63721E+00    7.74474E+00
    4.40000E-01    6.21257E+00    6.72963E+00
    5.50000E-01    4.69712E+00    5.61756E+00
    7.00000E-01    3.38964E+00    4.28294E+00
    8.50000E-01    2.59384E+00    3.11658E+00
    1.00000E+00    2.13997E+00    2.18339E+00
    1.15000E+00    1.85926E+00    1.54104E+00
    1.30000E+00    1.63576E+00    1.10403E+00
    1.70000E+00    1.15204E+00    4.95375E-01
    2.00000E+00    9.04046E-01    2.75221E-01
    2.20000E+00    7.66565E-01    1.89316E-01
    2.70000E+00    5.32395E-01    8.13015E-02
    3.00000E+00    4.42378E-01    5.23051E-02
    3.50000E+00    3.35433E-01    2.74362E-02
    4.00000E+00    2.67999E-01    1.57305E-02
    4.50000E+00    2.18639E-01    9.65074E-03
    5.00000E+00    1.84746E-01    6.23549E-03
    5.50000E+00    1.59698E-01    4.19896E-03
    6.00000E+00    1.41654E-01    2.92149E-03
    6.50000E+00    1.29064E-01    2.08788E-03
    7.00000E+00    1.20243E-01    1.52555E-03
    7.50000E+00    1.14356E-01    1.13335E-03
    8.00000E+00    1.15293E-01    8.49941E-04
    8.20000E+00    1.19055E-01    7.58266E-04
    8.40000E+00    1.27507E-01    6.77099E-04
    8.60000E+00    1.41320E-01    6.03974E-04
    8.80000E+00    1.81709E-01    5.46637E-04
    9.00000E+00    2.20006E-01    5.03365E-04
    9.20000E+00    2.67792E-01    4.68106E-04
    9.30000E+00    2.93935E-01    4.54998E-04
    9.40000E+00    3.26493E-01    4.47036E-04
    9.45000E+00    3.39166E-01    4.44094E-04
    9.50000E+00    3.52246E-01    4.41765E-04
    9.55000E+00    3.59885E-01    4.37921E-04
    9.60000E+00    3.67566E-01    4.34383E-04
    9.65000E+00    3.75499E-01    4.30190E-04
    9.70000E+00    3.83548E-01    4.26315E-04
    9.75000E+00    3.95550E-01    4.24356E-04
    9.80000E+00    4.07848E-01    4.22929E-04
    9.85000E+00    4.19681E-01    4.23722E-04
    9.90000E+00    4.31504E-01    4.25089E-04
    9.95000E+00    4.34045E-01    4.24710E-04
    1.00000E+01    4.36102E-01    4.24500E-04
    1.02000E+01    4.23210E-01    4.11116E-04
    1.05000E+01    3.87015E-01    3.83367E-04
    1.10000E+01    3.13667E-01    3.23431E-04
    1.13000E+01    2.85787E-01    2.94089E-04
    1.16000E+01    2.49705E-01    2.70636E-04
    1.20000E+01    1.88450E-01    2.28611E-04
    1.25000E+01    1.52398E-01    1.87402E-04
    1.30000E+01    1.28633E-01    1.53619E-04
    1.35000E+01    1.23224E-01    1.27927E-04
    1.40000E+01    1.21880E-01    1.08515E-04
    1.45000E+01    1.17825E-01    9.29300E-05
    1.50000E+01    1.15639E-01    7.83900E-05
    1.55000E+01    1.31753E-01    6.75835E-05
    1.60000E+01    1.51647E-01    5.96427E-05
    1.65000E+01    1.74045E-01    5.39487E-05
    1.70000E+01    1.95426E-01    5.00228E-05
    1.75000E+01    2.10369E-01    4.72440E-05
    1.80000E+01    2.14152E-01    4.47831E-05
    1.85000E+01    2.07661E-01    4.20871E-05
    1.90000E+01    1.93983E-01    3.89542E-05
    1.95000E+01    1.78618E-01    3.56456E-05
    2.00000E+01    1.64394E-01    3.23953E-05
    2.10000E+01    1.43682E-01    2.65795E-05
    2.20000E+01    1.31951E-01    2.20079E-05
    2.30000E+01    1.24228E-01    1.84892E-05
    2.40000E+01    1.18967E-01    1.56558E-05
    2.50000E+01    1.15890E-01    1.33681E-05
    2.60000E+01    1.13977E-01    1.15446E-05
    2.70000E+01    1.13469E-01    1.00896E-05
    2.80000E+01    1.15037E-01    8.90090E-06
    3.00000E+01    1.17369E-01    7.12452E-06
    3.50000E+01    9.87381E-02    4.35166E-06
    4.00000E+01    6.89579E-02    2.63347E-06
    4.50000E+01    4.75022E-02    1.63016E-06
    5.00000E+01    3.42660E-02    1.05469E-06
    5.50000E+01    2.61953E-02    7.11406E-07
    6.00000E+01    2.09203E-02    4.97131E-07
    6.50000E+01    1.71519E-02    3.58027E-07
    7.00000E+01    1.43341E-02    2.64537E-07
    7.50000E+01    1.21488E-02    1.99802E-07
    8.00000E+01    1.04382E-02    1.53771E-07
    8.50000E+01    9.07464E-03    1.20300E-07
    9.00000E+01    7.98339E-03    9.54357E-08
    9.50000E+01    7.08557E-03    7.66889E-08
    1.00000E+02    6.33709E-03    6.23333E-08
    1.05000E+02    5.71597E-03    5.11878E-08
    1.10000E+02    5.19395E-03    4.24276E-08
    1.20000E+02    4.38606E-03    2.98808E-08
    1.30000E+02    3.81568E-03    2.16726E-08
    1.40000E+02    3.33885E-03    1.61221E-08
    1.50000E+02    2.88017E-03    1.22464E-08
    2.00000E+02    1.50716E-03    3.86439E-09
    2.50000E+02    9.48225E-04    1.57971E-09
    3.00000E+02    6.55054E-04    7.61011E-10
    4.00000E+02    3.67628E-04    2.40545E-10
    5.00000E+02    2.35461E-04    9.84787E-11
    7.00000E+02    1.22200E-04    2.56262E-11
    1.00000E+03    5.91449E-05    6.15164E-12
    1.50000E+03    2.63333E-05    1.21501E-12
    2.25000E+03    1.17136E-05    2.39988E-13
    3.35000E+03    5.28074E-06    4.88350E-14
    5.00000E+03    2.37255E-06    9.84068E-15
    7.40000E+03    1.09182E-06    2.05107E-15
    1.10000E+04    5.14910E-07    4.20084E-16
    1.30000E+04    4.06692E-07    2.15344E-16
    1.60000E+04    3.06126E-07    9.38483E-17
    2.40000E+04    1.80672E-07    1.85379E-17
    3.60000E+04    1.10043E-07    3.66181E-18
