  Standard MRN mixture (a_min=0.005, amax=0.25)
 Silw:0.53 Silc:0.00 SiDL:0.00 amC:0.00 SiC:0.00 Grph:0.47 CrSi:0.00
       lambda      <s_abs>/<V>    <s_sca>/<V> 
    1.00000E-02    1.39559E+01    1.87217E+01
    1.50000E-02    1.49455E+01    2.30538E+01
    2.00000E-02    1.53365E+01    2.48153E+01
    3.00000E-02    1.57564E+01    2.38938E+01
    4.00000E-02    1.49736E+01    2.22602E+01
    5.00000E-02    1.58028E+01    2.15523E+01
    6.00000E-02    1.75100E+01    2.07803E+01
    8.00000E-02    2.21582E+01    2.06548E+01
    1.00000E-01    1.83829E+01    1.86671E+01
    1.20000E-01    1.31269E+01    1.55963E+01
    1.50000E-01    1.00548E+01    1.13731E+01
    2.00000E-01    1.45506E+01    1.09313E+01
    2.50000E-01    1.16056E+01    1.11925E+01
    3.00000E-01    9.25029E+00    9.07556E+00
    3.60000E-01    7.81722E+00    7.75598E+00
    4.40000E-01    6.34835E+00    6.75479E+00
    5.50000E-01    4.75478E+00    5.68881E+00
    7.00000E-01    3.49095E+00    4.30484E+00
    8.50000E-01    2.69793E+00    3.16315E+00
    1.00000E+00    2.18673E+00    2.25365E+00
    1.15000E+00    1.84479E+00    1.58851E+00
    1.30000E+00    1.58634E+00    1.13285E+00
    1.70000E+00    1.08596E+00    5.02542E-01
    2.00000E+00    8.37655E-01    2.77890E-01
    2.20000E+00    7.06554E-01    1.90665E-01
    2.70000E+00    4.86235E-01    8.16412E-02
    3.00000E+00    4.01441E-01    5.24593E-02
    3.50000E+00    3.02125E-01    2.74802E-02
    4.00000E+00    2.39498E-01    1.57436E-02
    4.50000E+00    1.94729E-01    9.65511E-03
    5.00000E+00    1.63923E-01    6.23884E-03
    5.50000E+00    1.41593E-01    4.20354E-03
    6.00000E+00    1.24946E-01    2.92800E-03
    6.50000E+00    1.12642E-01    2.09470E-03
    7.00000E+00    1.04138E-01    1.53134E-03
    7.50000E+00    9.98132E-02    1.13863E-03
    8.00000E+00    1.03181E-01    8.55908E-04
    8.20000E+00    1.08200E-01    7.65344E-04
    8.40000E+00    1.16208E-01    6.85278E-04
    8.60000E+00    1.27763E-01    6.12692E-04
    8.80000E+00    1.62091E-01    5.53872E-04
    9.00000E+00    1.94658E-01    5.08674E-04
    9.20000E+00    2.35350E-01    4.70238E-04
    9.30000E+00    2.57623E-01    4.55257E-04
    9.40000E+00    2.85410E-01    4.44867E-04
    9.45000E+00    2.96204E-01    4.40789E-04
    9.50000E+00    3.07354E-01    4.37225E-04
    9.55000E+00    3.13830E-01    4.32544E-04
    9.60000E+00    3.20358E-01    4.28135E-04
    9.65000E+00    3.27100E-01    4.23159E-04
    9.70000E+00    3.33948E-01    4.18469E-04
    9.75000E+00    3.44173E-01    4.15272E-04
    9.80000E+00    3.54664E-01    4.12520E-04
    9.85000E+00    3.64719E-01    4.11935E-04
    9.90000E+00    3.74810E-01    4.11818E-04
    9.95000E+00    3.76886E-01    4.10524E-04
    1.00000E+01    3.78637E-01    4.09378E-04
    1.02000E+01    3.67431E-01    3.94879E-04
    1.05000E+01    3.36176E-01    3.67144E-04
    1.10000E+01    2.73078E-01    3.10825E-04
    1.13000E+01    2.49055E-01    2.82242E-04
    1.16000E+01    2.17985E-01    2.59895E-04
    1.20000E+01    1.65336E-01    2.21030E-04
    1.25000E+01    1.34289E-01    1.82492E-04
    1.30000E+01    1.13803E-01    1.50817E-04
    1.35000E+01    1.09042E-01    1.26415E-04
    1.40000E+01    1.07786E-01    1.07796E-04
    1.45000E+01    1.04232E-01    9.27301E-05
    1.50000E+01    1.02317E-01    7.95866E-05
    1.55000E+01    1.07624E-01    6.85193E-05
    1.60000E+01    1.22017E-01    6.03913E-05
    1.65000E+01    1.31118E-01    5.40564E-05
    1.70000E+01    1.40218E-01    4.88067E-05
    1.75000E+01    1.45966E-01    4.45598E-05
    1.80000E+01    1.47102E-01    4.07867E-05
    1.85000E+01    1.44870E-01    3.73587E-05
    1.90000E+01    1.39246E-01    3.40063E-05
    1.95000E+01    1.35987E-01    3.09409E-05
    2.00000E+01    1.32894E-01    2.82676E-05
    2.10000E+01    1.25159E-01    2.37418E-05
    2.20000E+01    1.17427E-01    1.99313E-05
    2.30000E+01    1.11217E-01    1.68153E-05
    2.40000E+01    1.07139E-01    1.42423E-05
    2.50000E+01    1.07045E-01    1.21786E-05
    2.60000E+01    1.07652E-01    1.05264E-05
    2.70000E+01    1.09271E-01    9.20546E-06
    2.80000E+01    1.12770E-01    8.17418E-06
    3.00000E+01    1.18286E-01    6.62286E-06
    3.50000E+01    1.01025E-01    4.12963E-06
    4.00000E+01    7.18255E-02    2.52097E-06
    4.50000E+01    5.05608E-02    1.56676E-06
    5.00000E+01    3.73013E-02    1.01613E-06
    5.50000E+01    2.87765E-02    6.86874E-07
    6.00000E+01    2.29655E-02    4.81113E-07
    6.50000E+01    1.87959E-02    3.47302E-07
    7.00000E+01    1.57088E-02    2.56955E-07
    7.50000E+01    1.33576E-02    1.94058E-07
    8.00000E+01    1.15095E-02    1.49345E-07
    8.50000E+01    1.00308E-02    1.16837E-07
    9.00000E+01    8.83524E-03    9.27276E-08
    9.50000E+01    7.84918E-03    7.45441E-08
    1.00000E+02    7.02536E-03    6.06153E-08
    1.05000E+02    6.34002E-03    4.97798E-08
    1.10000E+02    5.76229E-03    4.12633E-08
    1.20000E+02    4.86311E-03    2.90655E-08
    1.30000E+02    4.22168E-03    2.10855E-08
    1.40000E+02    3.68874E-03    1.56882E-08
    1.50000E+02    3.18479E-03    1.19191E-08
    2.00000E+02    1.67813E-03    3.76291E-09
    2.50000E+02    1.05758E-03    1.53844E-09
    3.00000E+02    7.30990E-04    7.41194E-10
    4.00000E+02    4.10299E-04    2.34300E-10
    5.00000E+02    2.62764E-04    9.59252E-11
    7.00000E+02    1.36494E-04    2.49630E-11
    1.00000E+03    6.59631E-05    5.99246E-12
    1.50000E+03    2.93749E-05    1.18358E-12
    2.25000E+03    1.30674E-05    2.33782E-13
    3.35000E+03    5.89860E-06    4.75724E-14
    5.00000E+03    2.64930E-06    9.58625E-15
    7.40000E+03    1.21663E-06    1.99804E-15
    1.10000E+04    5.69966E-07    4.09221E-16
    1.30000E+04    4.53278E-07    2.09776E-16
    1.60000E+04    3.43977E-07    9.14215E-17
    2.40000E+04    2.05906E-07    1.80586E-17
    3.60000E+04    1.26866E-07    3.56712E-18
