ISRF at 10-kpc from the Galactic center. Data are taken from Mathis et al 
((1983) A&A,128,212, tables A3,B1) and rescaled to lambda*J_lambda [W/m^2]
  lambda[mic]  lam*J_lam[W/m^2]
>
    9.10E-02    7.748E-08
    1.00E-01    1.170E-07
    1.10E-01    1.786E-07
    1.30E-01    2.121E-07
    1.43E-01    2.083E-07
    1.80E-01    1.776E-07
    2.00E-01    1.655E-07
    2.10E-01    1.606E-07
    2.16E-01    1.571E-07
    2.30E-01    1.510E-07
    2.50E-01    1.447E-07
    3.46E-01    3.579E-07
    4.35E-01    5.192E-07
    5.50E-01    6.872E-07
    7.00E-01    8.523E-07
    9.00E-01    9.454E-07
    1.20E+00    8.841E-07
    1.80E+00    5.816E-07
    2.20E+00    4.219E-07
    2.40E+00    3.610E-07
    3.40E+00    1.756E-07
    4.00E+00    1.206E-07
    5.00E+00    7.003E-08
    6.00E+00    4.397E-08
    8.00E+00    2.757E-08
    1.00E+01    2.594E-08
    1.20E+01    2.110E-08
    2.00E+01    1.135E-08
    2.50E+01    2.268E-08
    3.00E+01    4.058E-08
    4.00E+01    9.740E-08
    5.00E+01    1.623E-07
    6.00E+01    2.273E-07
    7.00E+01    2.512E-07
    8.00E+01    2.674E-07
    9.00E+01    2.593E-07
    1.00E+02    2.515E-07
    1.50E+02    1.623E-07
    2.00E+02    8.929E-08
    3.00E+02    3.318E-08
    4.00E+02    1.786E-08
    6.00E+02    6.303E-09
    8.00E+02    2.674E-09
    1.00E+03    1.703E-09
