  Qbas Qsca for Iveciz Benchmark
  Qabs = 1 /lambda Qsca = 1/ lambda^4
        lambda      <S_abs>/<V>    <S_sca>/<V>
    1.00000E-02    1.00000E+00    1.00000E+00
    1.50000E-02    1.00000E+00    1.00000E+00
    2.00000E-02    1.00000E+00    1.00000E+00
    3.00000E-02    1.00000E+00    1.00000E+00
    4.00000E-02    1.00000E+00    1.00000E+00
    5.00000E-02    1.00000E+00    1.00000E+00
    6.00000E-02    1.00000E+00    1.00000E+00
    8.00000E-02    1.00000E+00    1.00000E+00
    1.00000E-01    1.00000E+00    1.00000E+00
    1.20000E-01    1.00000E+00    1.00000E+00
    1.50000E-01    1.00000E+00    1.00000E+00
    2.00000E-01    1.00000E+00    1.00000E+00
    2.50000E-01    1.00000E+00    1.00000E+00
    3.00000E-01    1.00000E+00    1.00000E+00
    3.60000E-01    1.00000E+00    1.00000E+00
    4.40000E-01    1.00000E+00    1.00000E+00
    5.50000E-01    1.00000E+00    1.00000E+00
    7.00000E-01    1.00000E+00    1.00000E+00
    8.50000E-01    1.00000E+00    1.00000E+00
    1.00000E+00    1.00000E+00    1.00000E+00
    1.15000E+00    8.69565E-01    5.71753E-01
    1.30000E+00    7.69231E-01    3.50128E-01
    1.70000E+00    5.88235E-01    1.19730E-01
    2.00000E+00    5.00000E-01    6.25000E-02
    2.20000E+00    4.54545E-01    4.26883E-02
    2.70000E+00    3.70370E-01    1.88168E-02
    3.00000E+00    3.33333E-01    1.23457E-02
    3.50000E+00    2.85714E-01    6.66389E-03
    4.00000E+00    2.50000E-01    3.90625E-03
    4.50000E+00    2.22222E-01    2.43865E-03
    5.00000E+00    2.00000E-01    1.60000E-03
    5.50000E+00    1.81818E-01    1.09282E-03
    6.00000E+00    1.66667E-01    7.71605E-04
    6.50000E+00    1.53846E-01    5.60204E-04
    7.00000E+00    1.42857E-01    4.16493E-04
    7.50000E+00    1.33333E-01    3.16049E-04
    8.00000E+00    1.25000E-01    2.44141E-04
    8.20000E+00    1.21951E-01    2.21179E-04
    8.40000E+00    1.19048E-01    2.00855E-04
    8.60000E+00    1.16279E-01    1.82813E-04
    8.80000E+00    1.13636E-01    1.66751E-04
    9.00000E+00    1.11111E-01    1.52416E-04
    9.20000E+00    1.08696E-01    1.39588E-04
    9.30000E+00    1.07527E-01    1.33681E-04
    9.40000E+00    1.06383E-01    1.28082E-04
    9.45000E+00    1.05820E-01    1.25393E-04
    9.50000E+00    1.05263E-01    1.22774E-04
    9.55000E+00    1.04712E-01    1.20223E-04
    9.60000E+00    1.04167E-01    1.17738E-04
    9.65000E+00    1.03627E-01    1.15316E-04
    9.70000E+00    1.03093E-01    1.12957E-04
    9.75000E+00    1.02564E-01    1.10658E-04
    9.80000E+00    1.02041E-01    1.08417E-04
    9.85000E+00    1.01523E-01    1.06232E-04
    9.90000E+00    1.01010E-01    1.04102E-04
    9.95000E+00    1.00503E-01    1.02025E-04
    1.00000E+01    1.00000E-01    1.00000E-04
    1.02000E+01    9.80392E-02    9.23846E-05
    1.05000E+01    9.52381E-02    8.22702E-05
    1.10000E+01    9.09091E-02    6.83013E-05
    1.13000E+01    8.84956E-02    6.13319E-05
    1.16000E+01    8.62069E-02    5.52291E-05
    1.20000E+01    8.33333E-02    4.82253E-05
    1.25000E+01    8.00000E-02    4.09600E-05
    1.30000E+01    7.69231E-02    3.50128E-05
    1.35000E+01    7.40741E-02    3.01068E-05
    1.40000E+01    7.14286E-02    2.60308E-05
    1.45000E+01    6.89655E-02    2.26218E-05
    1.50000E+01    6.66667E-02    1.97531E-05
    1.55000E+01    6.45161E-02    1.73250E-05
    1.60000E+01    6.25000E-02    1.52588E-05
    1.65000E+01    6.06061E-02    1.34916E-05
    1.70000E+01    5.88235E-02    1.19730E-05
    1.75000E+01    5.71429E-02    1.06622E-05
    1.80000E+01    5.55556E-02    9.52599E-06
    1.85000E+01    5.40541E-02    8.53715E-06
    1.90000E+01    5.26316E-02    7.67336E-06
    1.95000E+01    5.12821E-02    6.91610E-06
    2.00000E+01    5.00000E-02    6.25000E-06
    2.10000E+01    4.76190E-02    5.14189E-06
    2.20000E+01    4.54545E-02    4.26883E-06
    2.30000E+01    4.34783E-02    3.57346E-06
    2.40000E+01    4.16667E-02    3.01408E-06
    2.50000E+01    4.00000E-02    2.56000E-06
    2.60000E+01    3.84615E-02    2.18830E-06
    2.70000E+01    3.70370E-02    1.88168E-06
    2.80000E+01    3.57143E-02    1.62693E-06
    3.00000E+01    3.33333E-02    1.23457E-06
    3.50000E+01    2.85714E-02    6.66389E-07
    4.00000E+01    2.50000E-02    3.90625E-07
    4.50000E+01    2.22222E-02    2.43865E-07
    5.00000E+01    2.00000E-02    1.60000E-07
    5.50000E+01    1.81818E-02    1.09282E-07
    6.00000E+01    1.66667E-02    7.71605E-08
    6.50000E+01    1.53846E-02    5.60205E-08
    7.00000E+01    1.42857E-02    4.16493E-08
    7.50000E+01    1.33333E-02    3.16049E-08
    8.00000E+01    1.25000E-02    2.44141E-08
    8.50000E+01    1.17647E-02    1.91569E-08
    9.00000E+01    1.11111E-02    1.52416E-08
    9.50000E+01    1.05263E-02    1.22774E-08
    1.00000E+02    1.00000E-02    1.00000E-08
    1.05000E+02    9.52381E-03    8.22702E-09
    1.10000E+02    9.09091E-03    6.83013E-09
    1.20000E+02    8.33333E-03    4.82253E-09
    1.30000E+02    7.69231E-03    3.50128E-09
    1.40000E+02    7.14286E-03    2.60308E-09
    1.50000E+02    6.66667E-03    1.97531E-09
    2.00000E+02    5.00000E-03    6.25000E-10
    2.50000E+02    4.00000E-03    2.56000E-10
    3.00000E+02    3.33333E-03    1.23457E-10
    4.00000E+02    2.50000E-03    3.90625E-11
    5.00000E+02    2.00000E-03    1.60000E-11
    7.00000E+02    1.42857E-03    4.16493E-12
    1.00000E+03    1.00000E-03    1.00000E-12
    1.50000E+03    6.66667E-04    1.97531E-13
    2.25000E+03    4.44444E-04    3.90184E-14
    3.35000E+03    2.98507E-04    7.94000E-15
    5.00000E+03    2.00000E-04    1.60000E-15
    7.40000E+03    1.35135E-04    3.33483E-16
    1.10000E+04    9.09091E-05    6.83013E-17
    1.30000E+04    7.69231E-05    3.50128E-17
    1.60000E+04    6.25000E-05    1.52588E-17
    2.40000E+04    4.16667E-05    3.01408E-18
    3.60000E+04    2.77778E-05    5.95374E-19
