  Standard MRN mixture (a_min=0.005, amax=0.25)
  Draine & Lee (1984): 53% silicate & 47% graphite.
       lambda      <S_abs>/<V>    <S_sca>/<V> 
    1.00000E-02    1.05267E+01    1.26488E+01
    2.00000E-02    1.12973E+01    1.07562E+01
    3.00000E-02    1.18359E+01    9.60536E+00
    4.00000E-02    1.41872E+01    1.02529E+01
    5.00000E-02    1.71658E+01    1.17608E+01
    6.00000E-02    2.21022E+01    1.29546E+01
    8.00000E-02    2.78522E+01    1.46052E+01
    1.00000E-01    2.59141E+01    1.55452E+01
    1.20000E-01    1.89236E+01    1.32623E+01
    1.50000E-01    1.36943E+01    1.17324E+01
    2.00000E-01    8.92040E+00    1.13757E+01
    2.50000E-01    7.95321E+00    1.02903E+01
    3.00000E-01    6.82741E+00    8.96191E+00
    3.60000E-01    5.50663E+00    7.79598E+00
    4.40000E-01    4.31002E+00    6.53772E+00
    5.50000E-01    3.01953E+00    5.16705E+00
    7.00000E-01    1.96633E+00    3.80618E+00
    8.50000E-01    1.37434E+00    2.72916E+00
    1.00000E+00    1.02535E+00    1.87833E+00
    1.15000E+00    8.05815E-01    1.25078E+00
    1.30000E+00    6.50724E-01    8.09021E-01
    1.70000E+00    4.26516E-01    3.07346E-01
    2.00000E+00    3.29771E-01    1.63066E-01
    2.20000E+00    2.83411E-01    1.10580E-01
    2.70000E+00    2.06071E-01    4.70173E-02
    3.00000E+00    1.75854E-01    3.02205E-02
    3.50000E+00    1.41221E-01    1.58248E-02
    4.00000E+00    1.17678E-01    9.05088E-03
    4.50000E+00    1.01344E-01    5.51002E-03
    5.00000E+00    8.95360E-02    3.53403E-03
    5.50000E+00    8.24611E-02    2.34798E-03
    6.00000E+00    7.72928E-02    1.61367E-03
    6.50000E+00    7.40017E-02    1.12516E-03
    7.00000E+00    7.17711E-02    8.03489E-04
    7.50000E+00    1.12920E-01    5.66420E-04
    8.00000E+00    1.55844E-01    4.15643E-04
    8.50000E+00    2.98634E-01    3.56558E-04
    9.00000E+00    4.41445E-01    3.39167E-04
    9.40000E+00    5.34195E-01    3.59402E-04
    9.55000E+00    5.47725E-01    3.62726E-04
    9.70000E+00    5.36406E-01    3.55450E-04
    9.85000E+00    5.19708E-01    3.42332E-04
    1.00000E+01    5.02592E-01    3.29854E-04
    1.05000E+01    4.23533E-01    2.79662E-04
    1.10000E+01    3.58249E-01    2.40397E-04
    1.13000E+01    3.20699E-01    2.10612E-04
    1.16000E+01    2.86077E-01    1.90626E-04
    1.20000E+01    2.46777E-01    1.63202E-04
    1.25000E+01    2.09114E-01    1.32418E-04
    1.30000E+01    1.74911E-01    1.09165E-04
    1.35000E+01    1.57193E-01    8.85493E-05
    1.40000E+01    1.38721E-01    7.21717E-05
    1.45000E+01    1.45309E-01    6.02504E-05
    1.50000E+01    1.52433E-01    5.04766E-05
    1.60000E+01    1.79710E-01    3.90794E-05
    1.70000E+01    2.07816E-01    3.28362E-05
    1.80000E+01    2.24918E-01    2.90624E-05
    1.90000E+01    2.24993E-01    2.58106E-05
    2.00000E+01    2.11361E-01    2.23872E-05
    2.20000E+01    1.87055E-01    1.58775E-05
    2.30000E+01    1.77461E-01    1.35781E-05
    2.40000E+01    1.69155E-01    1.17155E-05
    2.50000E+01    1.61884E-01    1.01922E-05
    2.60000E+01    1.56302E-01    8.84805E-06
    2.70000E+01    1.51111E-01    7.73879E-06
    2.80000E+01    1.46278E-01    6.81654E-06
    3.00000E+01    1.37103E-01    5.38206E-06
    3.50000E+01    1.18744E-01    3.15393E-06
    4.00000E+01    9.96169E-02    1.98384E-06
    4.50000E+01    8.21401E-02    1.30593E-06
    5.00000E+01    6.74085E-02    8.90598E-07
    5.50000E+01    5.64542E-02    6.20773E-07
    6.00000E+01    4.75229E-02    4.44604E-07
    6.50000E+01    4.02532E-02    3.26279E-07
    7.00000E+01    3.42985E-02    2.44638E-07
    7.50000E+01    2.99161E-02    1.86449E-07
    8.00000E+01    2.62460E-02    1.44502E-07
    8.50000E+01    2.31587E-02    1.13676E-07
    9.00000E+01    2.05283E-02    9.06313E-08
    9.50000E+01    1.82688E-02    7.31364E-08
    1.00000E+02    1.63120E-02    5.96649E-08
    1.05000E+02    1.48284E-02    4.91241E-08
    1.10000E+02    1.35330E-02    4.08081E-08
    1.20000E+02    1.13922E-02    2.88397E-08
    1.30000E+02    9.69711E-03    2.09562E-08
    1.40000E+02    8.31577E-03    1.56005E-08
    1.50000E+02    7.15049E-03    1.18538E-08
    2.00000E+02    3.95439E-03    3.75505E-09
    2.50000E+02    2.55364E-03    1.53828E-09
    3.00000E+02    1.74250E-03    7.41905E-10
    4.00000E+02    1.00047E-03    2.34759E-10
    5.00000E+02    6.25186E-04    9.61639E-11
    7.00000E+02    3.18793E-04    2.50313E-11
    1.30000E+03    1.10824E-04    2.10424E-12
    4.00000E+03    3.22337E-05    2.34752E-14
    1.30000E+04    9.91548E-06    2.10414E-16
    2.00000E+04    6.44496E-06    3.75603E-17
    3.60000E+04    3.58051E-06    3.57799E-18
