  Standard MRN mixture (a_min=0.005, amax=0.25)
 Silw:0.00 Silc:0.00 SiDL:0.53 amC:0.00 SiC:0.00 Grph:0.47
       lambda      <s_abs>/<V>    <s_sca>/<V> 
    1.00000E-02    1.06809E+01    0.00000E+00
    1.50000E-02    1.12399E+01    0.00000E+00
    2.00000E-02    1.16875E+01    0.00000E+00
    3.00000E-02    1.24021E+01    0.00000E+00
    4.00000E-02    1.42957E+01    0.00000E+00
    5.00000E-02    1.74467E+01    0.00000E+00
    6.00000E-02    2.32744E+01    0.00000E+00
    8.00000E-02    3.06521E+01    0.00000E+00
    1.00000E-01    2.63544E+01    0.00000E+00
    1.20000E-01    1.92774E+01    0.00000E+00
    1.50000E-01    1.45011E+01    0.00000E+00
    2.00000E-01    1.33448E+01    0.00000E+00
    2.50000E-01    9.85270E+00    0.00000E+00
    3.00000E-01    7.67939E+00    0.00000E+00
    3.60000E-01    6.47596E+00    0.00000E+00
    4.40000E-01    5.34400E+00    0.00000E+00
    5.50000E-01    4.18894E+00    0.00000E+00
    7.00000E-01    3.17101E+00    0.00000E+00
    8.50000E-01    2.50351E+00    0.00000E+00
    1.00000E+00    2.03835E+00    0.00000E+00
    1.15000E+00    1.70434E+00    0.00000E+00
    1.30000E+00    1.44991E+00    0.00000E+00
    1.70000E+00    9.89831E-01    0.00000E+00
    2.00000E+00    7.61580E-01    0.00000E+00
    2.20000E+00    6.48458E-01    0.00000E+00
    2.70000E+00    4.56505E-01    0.00000E+00
    3.00000E+00    3.80704E-01    0.00000E+00
    3.50000E+00    2.93477E-01    0.00000E+00
    4.00000E+00    2.35164E-01    0.00000E+00
    4.50000E+00    1.94872E-01    0.00000E+00
    5.00000E+00    1.65594E-01    0.00000E+00
    5.50000E+00    1.45507E-01    0.00000E+00
    6.00000E+00    1.30153E-01    0.00000E+00
    6.50000E+00    1.18986E-01    0.00000E+00
    7.00000E+00    1.10206E-01    0.00000E+00
    7.50000E+00    1.36418E-01    0.00000E+00
    8.00000E+00    1.84521E-01    0.00000E+00
    8.20000E+00    2.17660E-01    0.00000E+00
    8.40000E+00    2.59555E-01    0.00000E+00
    8.60000E+00    3.12340E-01    0.00000E+00
    8.80000E+00    3.78837E-01    0.00000E+00
    9.00000E+00    4.62827E-01    0.00000E+00
    9.20000E+00    5.06409E-01    0.00000E+00
    9.30000E+00    5.28028E-01    0.00000E+00
    9.40000E+00    5.49100E-01    0.00000E+00
    9.45000E+00    5.59303E-01    0.00000E+00
    9.50000E+00    5.69206E-01    0.00000E+00
    9.55000E+00    5.65833E-01    0.00000E+00
    9.60000E+00    5.62116E-01    0.00000E+00
    9.65000E+00    5.58066E-01    0.00000E+00
    9.70000E+00    5.53701E-01    0.00000E+00
    9.75000E+00    5.48004E-01    0.00000E+00
    9.80000E+00    5.42216E-01    0.00000E+00
    9.85000E+00    5.36346E-01    0.00000E+00
    9.90000E+00    5.30402E-01    0.00000E+00
    9.95000E+00    5.24395E-01    0.00000E+00
    1.00000E+01    5.18330E-01    0.00000E+00
    1.02000E+01    4.85602E-01    0.00000E+00
    1.05000E+01    4.39073E-01    0.00000E+00
    1.10000E+01    3.69340E-01    0.00000E+00
    1.13000E+01    3.29935E-01    0.00000E+00
    1.16000E+01    2.94514E-01    0.00000E+00
    1.20000E+01    2.54182E-01    0.00000E+00
    1.25000E+01    2.12687E-01    0.00000E+00
    1.30000E+01    1.78757E-01    0.00000E+00
    1.35000E+01    1.57596E-01    0.00000E+00
    1.40000E+01    1.39351E-01    0.00000E+00
    1.45000E+01    1.44781E-01    0.00000E+00
    1.50000E+01    1.50078E-01    0.00000E+00
    1.55000E+01    1.62003E-01    0.00000E+00
    1.60000E+01    1.74548E-01    0.00000E+00
    1.65000E+01    1.87057E-01    0.00000E+00
    1.70000E+01    1.99947E-01    0.00000E+00
    1.75000E+01    2.07433E-01    0.00000E+00
    1.80000E+01    2.14451E-01    0.00000E+00
    1.85000E+01    2.13493E-01    0.00000E+00
    1.90000E+01    2.11985E-01    0.00000E+00
    1.95000E+01    2.03804E-01    0.00000E+00
    2.00000E+01    1.95885E-01    0.00000E+00
    2.10000E+01    1.80288E-01    0.00000E+00
    2.20000E+01    1.66841E-01    0.00000E+00
    2.30000E+01    1.55185E-01    0.00000E+00
    2.40000E+01    1.45013E-01    0.00000E+00
    2.50000E+01    1.36053E-01    0.00000E+00
    2.60000E+01    1.28785E-01    0.00000E+00
    2.70000E+01    1.22244E-01    0.00000E+00
    2.80000E+01    1.16331E-01    0.00000E+00
    3.00000E+01    1.05857E-01    0.00000E+00
    3.50000E+01    8.62069E-02    0.00000E+00
    4.00000E+01    7.01705E-02    0.00000E+00
    4.50000E+01    5.71929E-02    0.00000E+00
    5.00000E+01    4.69153E-02    0.00000E+00
    5.50000E+01    3.88837E-02    0.00000E+00
    6.00000E+01    3.25637E-02    0.00000E+00
    6.50000E+01    2.75624E-02    0.00000E+00
    7.00000E+01    2.35646E-02    0.00000E+00
    7.50000E+01    2.04061E-02    0.00000E+00
    8.00000E+01    1.78177E-02    0.00000E+00
    8.50000E+01    1.56850E-02    0.00000E+00
    9.00000E+01    1.39090E-02    0.00000E+00
    9.50000E+01    1.24160E-02    0.00000E+00
    1.00000E+02    1.11486E-02    0.00000E+00
    1.05000E+02    1.00900E-02    0.00000E+00
    1.10000E+02    9.18544E-03    0.00000E+00
    1.20000E+02    7.74650E-03    0.00000E+00
    1.30000E+02    6.67374E-03    0.00000E+00
    1.40000E+02    5.81169E-03    0.00000E+00
    1.50000E+02    5.03908E-03    0.00000E+00
    2.00000E+02    2.71755E-03    0.00000E+00
    2.50000E+02    1.72189E-03    0.00000E+00
    3.00000E+02    1.19067E-03    0.00000E+00
    4.00000E+02    6.68574E-04    0.00000E+00
    5.00000E+02    4.27725E-04    0.00000E+00
    7.00000E+02    2.18451E-04    0.00000E+00
    1.00000E+03    1.07145E-04    0.00000E+00
    1.50000E+03    5.89269E-05    0.00000E+00
    2.25000E+03    3.51416E-05    0.00000E+00
    3.35000E+03    2.35465E-05    0.00000E+00
    5.00000E+03    1.57591E-05    0.00000E+00
    7.40000E+03    1.06429E-05    0.00000E+00
    1.10000E+04    7.15822E-06    0.00000E+00
    1.30000E+04    6.05664E-06    0.00000E+00
    1.60000E+04    4.92080E-06    0.00000E+00
    2.40000E+04    3.28038E-06    0.00000E+00
    3.60000E+04    2.18687E-06    0.00000E+00
