This is an example for dust density given in a file with   
rho = 1/r**1.5. Make sure that this header has three lines.
   r(i)       rho_dust(i)
1.000000e+0   1.000000e+0
1.005000e+0   9.925466e-1
1.010000e+0   9.851853e-1
1.020000e+0   9.707329e-1
1.030000e+0   9.566304e-1
1.040000e+0   9.428660e-1
1.050000e+0   9.294286e-1
1.060000e+0   9.163074e-1
1.070000e+0   9.034920e-1
1.080000e+0   8.909726e-1
1.090000e+0   8.787397e-1
1.100000e+0   8.667842e-1
1.200000e+0   7.607258e-1
1.300000e+0   6.746600e-1
1.400000e+0   6.036816e-1
1.500000e+0   5.443311e-1
1.600000e+0   4.941059e-1
1.700000e+0   4.511559e-1
1.800000e+0   4.140867e-1
1.900000e+0   3.818296e-1
2.000000e+0   3.535534e-1
2.100000e+0   3.286026e-1
2.200000e+0   3.064545e-1
2.300000e+0   2.866872e-1
2.400000e+0   2.689572e-1
2.500000e+0   2.529822e-1
2.600000e+0   2.385283e-1
2.700000e+0   2.254002e-1
2.800000e+0   2.134337e-1
2.900000e+0   2.024897e-1
3.000000e+0   1.924501e-1
3.100000e+0   1.832135e-1
3.200000e+0   1.746928e-1
3.300000e+0   1.668127e-1
3.400000e+0   1.595077e-1
3.500000e+0   1.527207e-1
3.600000e+0   1.464017e-1
3.700000e+0   1.405068e-1
3.800000e+0   1.349972e-1
3.900000e+0   1.298384e-1
4.000000e+0   1.250000e-1
4.100000e+0   1.204548e-1
4.200000e+0   1.161786e-1
4.300000e+0   1.121495e-1
4.400000e+0   1.083480e-1
4.500000e+0   1.047566e-1
4.600000e+0   1.013592e-1
4.700000e+0   9.814162e-2
4.800000e+0   9.509072e-2
4.900000e+0   9.219468e-2
5.000000e+0   8.944272e-2
5.500000e+0   7.752753e-2
6.000000e+0   6.804138e-2
6.500000e+0   6.034343e-2
7.000000e+0   5.399492e-2
7.500000e+0   4.868645e-2
8.000000e+0   4.419417e-2
8.500000e+0   4.035261e-2
9.000000e+0   3.703704e-2
9.500000e+0   3.415188e-2
1.000000e+1   3.162278e-2
1.050000e+1   2.939111e-2
1.100000e+1   2.741012e-2
1.150000e+1   2.564208e-2
1.200000e+1   2.405626e-2
1.250000e+1   2.262742e-2
1.300000e+1   2.133462e-2
1.350000e+1   2.016041e-2
1.400000e+1   1.909009e-2
1.450000e+1   1.811123e-2
1.500000e+1   1.721326e-2
1.550000e+1   1.638711e-2
1.600000e+1   1.562500e-2
1.650000e+1   1.492018e-2
1.700000e+1   1.426680e-2
1.750000e+1   1.365976e-2
1.800000e+1   1.309457e-2
1.850000e+1   1.256731e-2
1.900000e+1   1.207451e-2
2.000000e+1   1.118034e-2
2.100000e+1   1.039133e-2
2.200000e+1   9.690942e-3
2.300000e+1   9.065844e-3
2.400000e+1   8.505173e-3
2.500000e+1   8.000000e-3
2.600000e+1   7.542928e-3
2.700000e+1   7.127781e-3
2.800000e+1   6.749366e-3
2.900000e+1   6.403288e-3
3.000000e+1   6.085806e-3
3.100000e+1   5.793719e-3
3.200000e+1   5.524272e-3
3.300000e+1   5.275080e-3
3.400000e+1   5.044076e-3
3.500000e+1   4.829453e-3
3.600000e+1   4.629630e-3
3.700000e+1   4.443216e-3
3.800000e+1   4.268985e-3
3.900000e+1   4.105850e-3
4.000000e+1   3.952847e-3
4.100000e+1   3.809116e-3
4.200000e+1   3.673889e-3
4.300000e+1   3.546478e-3
4.400000e+1   3.426265e-3
4.500000e+1   3.312693e-3
4.600000e+1   3.205260e-3
4.700000e+1   3.103510e-3
4.800000e+1   3.007033e-3
4.900000e+1   2.915452e-3
5.000000e+1   2.828427e-3
5.100000e+1   2.745647e-3
5.200000e+1   2.666828e-3
5.300000e+1   2.591709e-3
5.400000e+1   2.520051e-3
5.500000e+1   2.451636e-3
5.600000e+1   2.386261e-3
5.700000e+1   2.323741e-3
5.800000e+1   2.263904e-3
5.900000e+1   2.206592e-3
6.000000e+1   2.151657e-3
6.100000e+1   2.098965e-3
6.200000e+1   2.048389e-3
6.300000e+1   1.999812e-3
6.400000e+1   1.953125e-3
6.500000e+1   1.908227e-3
6.600000e+1   1.865023e-3
6.700000e+1   1.823425e-3
6.800000e+1   1.783350e-3
6.900000e+1   1.744723e-3
7.000000e+1   1.707469e-3
7.100000e+1   1.671523e-3
7.200000e+1   1.636821e-3
7.300000e+1   1.603303e-3
7.400000e+1   1.570914e-3
7.500000e+1   1.539601e-3
7.600000e+1   1.509314e-3
7.700000e+1   1.480007e-3
7.800000e+1   1.451637e-3
7.900000e+1   1.424162e-3
8.000000e+1   1.397542e-3
8.100000e+1   1.371742e-3
8.200000e+1   1.346726e-3
8.300000e+1   1.322461e-3
8.400000e+1   1.298916e-3
8.500000e+1   1.276062e-3
8.600000e+1   1.253869e-3
8.700000e+1   1.232313e-3
8.800000e+1   1.211368e-3
8.900000e+1   1.191009e-3
9.000000e+1   1.171214e-3
9.100000e+1   1.151961e-3
9.200000e+1   1.133231e-3
9.300000e+1   1.115002e-3
9.400000e+1   1.097257e-3
9.500000e+1   1.079977e-3
9.600000e+1   1.063147e-3
9.700000e+1   1.046749e-3
9.800000e+1   1.030768e-3
9.900000e+1   1.015190e-3
1.000000e+2   1.000000e-3
1.010000e+2   9.851850e-4

