Kurucz model atmosphere for T=10000 K and g=3.0
  lambda    L_lambda
 (micron)  (arbitrary)
  .06120   .6194E-11
  .06400   .2649E-13
  .06710   .1161E-12
  .07050   .5058E-12
  .07360   .1722E-11
  .07700   .5875E-11
  .08100   .2168E-10
  .08500   .7015E-10
  .08900   .2032E-09
  .09200   .4624E-07
  .09400   .1914E-06
  .09620   .3236E-06
  .09870   .5821E-06
  .10120   .8054E-06
  .10370   .1050E-05
  .10620   .1556E-05
  .10870   .2042E-08
  .11120   .7063E-03
  .11370   .6950E-03
  .11620   .8128E-03
  .11870   .4808E-03
  .12100   .2254E-04
  .12290   .1977E-03
  .12540   .2208E-02
  .12850   .4487E-02
  .13120   .3899E-02
  .13370   .4909E-02
  .13620   .4246E-02
  .13870   .4603E-02
  .14100   .4436E-02
  .14330   .4775E-02
  .14570   .4831E-02
  .14820   .4603E-02
  .15070   .4656E-02
  .15320   .4315E-02
  .15570   .3908E-02
  .15820   .4335E-02
  .16080   .4395E-02
  .16350   .4027E-02
  .16630   .3715E-02
  .16880   .4169E-02
  .17120   .3784E-02
  .17370   .3981E-02
  .17620   .3981E-02
  .17870   .3936E-02
  .18150   .3319E-02
  .18400   .3459E-02
  .18620   .3491E-02
  .18920   .3631E-02
  .19200   .3606E-02
  .19400   .3673E-02
  .19640   .3656E-02
  .19890   .3491E-02
  .20120   .3236E-02
  .20370   .3221E-02
  .20630   .3105E-02
  .20880   .3251E-02
  .21120   .3148E-02
  .21370   .2851E-02
  .21620   .2904E-02
  .21870   .2924E-02
  .22120   .2704E-02
  .22370   .2655E-02
  .22620   .2500E-02
  .22870   .2661E-02
  .23120   .2489E-02
  .23370   .2234E-02
  .23620   .2213E-02
  .23870   .1986E-02
  .24120   .2075E-02
  .24370   .2244E-02
  .24620   .2208E-02
  .24870   .2198E-02
  .25060   .2291E-02
  .25190   .2259E-02
  .25370   .2004E-02
  .25620   .2228E-02
  .25870   .2218E-02
  .26120   .2163E-02
  .26370   .2323E-02
  .26620   .2339E-02
  .26870   .2307E-02
  .27120   .2213E-02
  .27370   .2168E-02
  .27620   .2118E-02
  .27870   .2023E-02
  .28120   .2213E-02
  .28370   .2168E-02
  .28620   .2163E-02
  .28870   .2163E-02
  .29120   .2307E-02
  .29370   .2218E-02
  .29620   .2249E-02
  .29870   .2259E-02
  .30120   .2301E-02
  .30370   .2270E-02
  .30620   .2234E-02
  .30870   .2218E-02
  .31120   .2163E-02
  .31370   .2168E-02
  .31620   .2168E-02
  .31870   .2109E-02
  .32120   .2138E-02
  .32370   .2084E-02
  .32620   .2089E-02
  .32870   .2084E-02
  .33120   .2084E-02
  .33370   .2032E-02
  .33620   .2028E-02
  .33870   .2018E-02
  .34120   .2018E-02
  .34370   .2009E-02
  .34620   .1986E-02
  .34870   .1963E-02
  .35120   .1959E-02
  .35370   .1959E-02
  .35620   .1932E-02
  .35870   .1905E-02
  .36120   .1892E-02
  .36360   .1879E-02
  .36610   .1986E-02
  .36870   .1905E-02
  .37120   .2350E-02
  .37370   .3112E-02
  .37620   .3214E-02
  .37870   .4207E-02
  .38120   .4819E-02
  .38370   .3828E-02
  .38620   .5420E-02
  .38870   .3758E-02
  .39120   .5188E-02
  .39370   .5129E-02
  .39620   .3811E-02
  .39870   .4732E-02
  .40120   .5012E-02
  .40370   .4932E-02
  .40620   .4831E-02
  .40870   .4305E-02
  .41120   .3556E-02
  .41370   .4539E-02
  .41620   .4539E-02
  .41870   .4457E-02
  .42120   .4406E-02
  .42370   .4295E-02
  .42620   .4217E-02
  .42870   .4150E-02
  .43120   .3999E-02
  .43370   .2831E-02
  .43620   .3802E-02
  .43870   .3837E-02
  .44120   .3811E-02
  .44370   .3767E-02
  .44620   .3707E-02
  .44870   .3622E-02
  .45120   .3565E-02
  .45370   .3508E-02
  .45620   .3467E-02
  .45870   .3396E-02
  .46120   .3373E-02
  .46370   .3319E-02
  .46620   .3281E-02
  .46870   .3221E-02
  .47120   .3126E-02
  .47370   .3097E-02
  .47620   .3083E-02
  .47870   .3013E-02
  .48120   .2972E-02
  .48370   .2864E-02
  .48620   .2037E-02
  .48870   .2773E-02
  .49120   .2793E-02
  .49370   .2767E-02
  .49620   .2729E-02
  .49870   .2685E-02
  .50250   .2618E-02
  .50750   .2541E-02
  .51250   .2472E-02
  .51750   .2388E-02
  .52250   .2328E-02
  .52750   .2259E-02
  .53250   .2193E-02
  .53750   .2143E-02
  .54250   .2080E-02
  .54750   .2023E-02
  .55250   .1968E-02
  .55750   .1914E-02
  .56250   .1862E-02
  .56750   .1811E-02
  .57250   .1766E-02
  .57750   .1718E-02
  .58250   .1675E-02
  .58750   .1626E-02
  .59250   .1589E-02
  .59750   .1545E-02
  .60250   .1507E-02
  .60750   .1469E-02
  .61250   .1429E-02
  .61750   .1396E-02
  .62250   .1358E-02
  .62750   .1327E-02
  .63250   .1291E-02
  .63750   .1262E-02
  .64250   .1233E-02
  .64750   .1199E-02
  .65250   .1161E-02
  .65750   .1007E-02
  .66250   .1117E-02
  .66750   .1091E-02
  .67250   .1067E-02
  .67750   .1042E-02
  .68250   .1019E-02
  .68750   .9954E-03
  .69250   .9727E-03
  .69750   .9506E-03
  .70250   .9290E-03
  .70750   .9078E-03
  .71500   .8770E-03
  .72500   .8395E-03
  .73500   .8035E-03
  .74500   .7674E-03
  .75500   .7379E-03
  .76500   .7063E-03
  .77500   .6745E-03
  .78500   .6501E-03
  .79500   .6237E-03
  .80500   .5998E-03
  .81500   .5754E-03
  .82500   .5636E-03
  .83500   .5370E-03
  .84500   .5200E-03
  .85500   .5117E-03
  .86500   .5035E-03
  .87500   .5070E-03
  .88500   .4875E-03
  .89500   .5070E-03
  .90500   .4529E-03
  .91500   .4721E-03
  .92500   .4198E-03
  .93500   .4395E-03
  .94500   .4227E-03
  .95500   .3767E-03
  .96500   .3917E-03
  .97500   .3802E-03
  .98500   .3664E-03
  .99500   .3532E-03
 1.00500   .3155E-03
 1.01500   .3289E-03
 1.02500   .3192E-03
 1.03500   .3083E-03
 1.04500   .2979E-03
 1.05500   .2871E-03
 1.06500   .2773E-03
 1.07500   .2692E-03
 1.08500   .2600E-03
 1.09500   .2339E-03
 1.10500   .2443E-03
 1.11500   .2371E-03
 1.12500   .2291E-03
 1.13500   .2213E-03
 1.14500   .2153E-03
 1.15500   .2089E-03
 1.16500   .2018E-03
 1.17500   .1959E-03
 1.18500   .1901E-03
 1.19500   .1849E-03
 1.20500   .1795E-03
 1.21500   .1742E-03
 1.22500   .1690E-03
 1.23500   .1644E-03
 1.24500   .1596E-03
 1.25500   .1552E-03
 1.26500   .1510E-03
 1.27500   .1455E-03
 1.28500   .1337E-03
 1.29500   .1387E-03
 1.30500   .1349E-03
 1.31500   .1312E-03
 1.32500   .1276E-03
 1.33500   .1245E-03
 1.34500   .1211E-03
 1.35500   .1178E-03
 1.36500   .1148E-03
 1.37500   .1117E-03
 1.38500   .1089E-03
 1.39500   .1062E-03
 1.40500   .1033E-03
 1.41500   .1007E-03
 1.42500   .9817E-04
 1.43500   .9572E-04
 1.44500   .9333E-04
 1.45440   .9120E-04
 1.46440   .8954E-04
 1.47500   .8730E-04
 1.48500   .8511E-04
 1.49500   .8318E-04
 1.51000   .7980E-04
 1.53000   .7586E-04
 1.55000   .7244E-04
 1.57000   .7015E-04
 1.59000   .6683E-04
 1.61000   .6368E-04
 1.63000   .6266E-04
 1.65000   .5875E-04
 1.67000   .5728E-04
 1.69000   .5370E-04
 1.80000   .4295E-04
 2.70000   .9572E-05
 4.00000   .2133E-05
 5.00000   .8995E-06
 6.50000   .3228E-06
10.00000   .5902E-07
20.00000   .3750E-08
